Giorno;00:00-00:15;00:15-00:30;00:30-00:45;00:45-01:00;01:00-01:15;01:15-01:30;01:30-01:45;01:45-02:00;02:00-02:15;02:15-02:30;02:30-02:45;02:45-03:00;03:00-03:15;03:15-03:30;03:30-03:45;03:45-04:00;04:00-04:15;04:15-04:30;04:30-04:45;04:45-05:00;05:00-05:15;05:15-05:30;05:30-05:45;05:45-06:00;06:00-06:15;06:15-06:30;06:30-06:45;06:45-07:00;07:00-07:15;07:15-07:30;07:30-07:45;07:45-08:00;08:00-08:15;08:15-08:30;08:30-08:45;08:45-09:00;09:00-09:15;09:15-09:30;09:30-09:45;09:45-10:00;10:00-10:15;10:15-10:30;10:30-10:45;10:45-11:00;11:00-11:15;11:15-11:30;11:30-11:45;11:45-12:00;12:00-12:15;12:15-12:30;12:30-12:45;12:45-13:00;13:00-13:15;13:15-13:30;13:30-13:45;13:45-14:00;14:00-14:15;14:15-14:30;14:30-14:45;14:45-15:00;15:00-15:15;15:15-15:30;15:30-15:45;15:45-16:00;16:00-16:15;16:15-16:30;16:30-16:45;16:45-17:00;17:00-17:15;17:15-17:30;17:30-17:45;17:45-18:00;18:00-18:15;18:15-18:30;18:30-18:45;18:45-19:00;19:00-19:15;19:15-19:30;19:30-19:45;19:45-20:00;20:00-20:15;20:15-20:30;20:30-20:45;20:45-21:00;21:00-21:15;21:15-21:30;21:30-21:45;21:45-22:00;22:00-22:15;22:15-22:30;22:30-22:45;22:45-23:00;23:00-23:15;23:15-23:30;23:30-23:45;23:45-00:00
01/07/2025 00:00;0.248;0.256;0.233;0.327;0.300;0.243;0.090;0.049;0.080;0.033;0.055;0.036;0.101;0.150;0.140;0.152;0.174;0.156;0.154;0.075;0.053;0.057;0.028;0.028;0.028;0.075;0.081;0.272;0.106;0.157;0.085;0.124;0.381;0.120;0.027;0.058;0.051;0.087;0.094;0.166;0.234;0.216;0.088;0.032;0.021;0.032;0.053;0.056;0.041;0.053;0.065;0.129;0.071;0.418;0.403;0.397;0.460;0.494;0.542;0.548;0.569;0.379;0.369;0.341;0.362;0.374;0.720;0.482;0.446;0.355;0.383;0.421;0.426;0.416;0.412;0.398;0.231;0.091;0.080;0.121;0.159;0.276;0.325;0.316;0.309;0.316;0.248;0.226;0.284;0.226;0.228;0.207;0.243;0.287;0.290;0.244
02/07/2025 00:00;0.204;0.295;0.213;0.215;0.097;0.088;0.097;0.077;0.080;0.123;0.087;0.070;0.027;0.039;0.029;0.029;0.025;0.028;0.028;0.025;0.028;0.028;0.027;0.028;0.041;0.051;0.063;0.042;0.095;0.081;0.059;0.054;0.152;0.049;0.070;0.082;0.154;0.075;0.109;0.060;0.056;0.087;0.060;0.052;0.064;0.044;0.030;0.032;0.061;0.056;0.341;0.444;0.410;0.402;0.417;0.470;0.624;0.604;0.441;0.381;0.358;0.363;0.344;0.328;0.326;0.315;0.376;0.426;0.448;0.440;0.395;0.426;0.398;0.424;0.367;0.371;0.346;0.346;0.440;0.390;0.344;0.490;0.544;0.270;0.148;0.105;0.150;0.214;0.294;0.315;0.323;0.240;0.392;0.299;0.200;0.226
03/07/2025 00:00;0.216;0.261;0.323;0.079;0.202;0.117;0.044;0.250;0.278;0.170;0.179;0.253;0.036;0.027;0.031;0.030;0.106;0.155;0.154;0.155;0.157;0.156;0.164;0.167;0.076;0.037;0.030;0.019;0.025;0.072;0.091;0.073;0.070;0.074;0.071;0.095;0.078;0.106;0.083;0.172;0.056;0.136;0.090;0.061;0.068;0.049;0.054;0.129;0.340;0.340;0.346;0.402;0.381;0.429;0.374;0.510;0.530;0.666;0.589;0.385;0.296;0.233;0.262;0.284;0.279;0.281;0.283;0.267;0.273;0.372;0.386;0.212;0.156;0.216;0.217;0.237;0.223;0.268;0.198;0.054;0.047;0.070;0.120;0.190;0.182;0.327;0.282;0.305;0.263;0.289;0.414;0.318;0.257;0.243;0.472;0.302
04/07/2025 00:00;0.394;0.337;0.622;0.387;0.258;0.282;0.331;0.393;0.255;0.181;0.102;0.082;0.093;0.090;0.218;0.090;0.096;0.196;0.298;0.278;0.148;0.049;0.056;0.036;0.043;0.041;0.042;0.042;0.038;0.042;0.078;0.103;0.143;0.071;0.049;0.045;0.048;0.063;0.051;0.089;0.029;0.035;0.046;0.068;0.064;0.074;0.062;0.151;0.340;0.338;0.355;0.359;0.408;0.378;0.387;0.400;0.267;0.312;0.309;0.284;0.313;0.278;0.479;0.478;0.479;0.383;0.351;0.202;0.365;0.351;0.346;0.344;0.281;0.341;0.340;0.351;0.325;0.340;0.366;0.318;0.271;0.286;0.394;0.598;0.419;0.307;0.333;0.307;0.274;0.250;0.314;0.264;0.235;0.312;0.253;0.239
05/07/2025 00:00;0.294;0.260;0.296;0.384;0.321;0.337;0.347;0.364;0.378;0.325;0.452;0.442;0.432;0.252;0.167;0.169;0.098;0.038;0.037;0.037;0.038;0.036;0.036;0.037;0.036;0.037;0.040;0.040;0.087;0.048;0.046;0.060;0.104;0.082;0.119;0.199;0.194;0.166;0.166;0.139;0.103;0.096;0.120;0.186;0.291;0.349;0.356;0.343;0.367;0.393;0.369;0.352;0.387;0.416;0.381;0.379;0.390;0.423;0.387;0.405;0.299;0.244;0.265;0.251;0.246;0.223;0.209;0.244;0.363;0.266;0.247;0.235;0.247;0.233;0.205;0.293;0.240;0.305;0.345;0.358;0.355;0.589;0.510;0.660;0.617;0.367;0.331;0.332;0.335;0.307;0.231;0.227;0.330;0.257;0.256;0.237
06/07/2025 00:00;0.230;0.251;0.208;0.224;0.221;0.248;0.204;0.210;0.191;0.192;0.292;0.285;0.588;0.332;0.660;0.288;0.318;0.704;0.391;0.204;0.189;0.247;0.248;0.098;0.020;0.016;0.036;0.045;0.053;0.034;0.039;0.038;0.037;0.037;0.037;0.042;0.102;0.283;0.169;0.122;0.042;0.052;0.051;0.049;0.056;0.202;0.256;0.039;0.089;0.324;0.123;0.066;0.151;0.351;0.336;0.271;0.364;0.367;0.343;0.254;0.261;0.264;0.267;0.263;0.235;0.229;0.255;0.214;0.210;0.207;0.206;0.187;0.279;0.275;0.298;0.226;0.223;0.336;0.323;0.093;0.037;0.037;0.034;0.021;0.013;0.035;0.037;0.039;0.051;0.032;0.053;0.342;0.208;0.230;0.272;0.239
07/07/2025 00:00;0.252;0.223;0.245;0.333;0.282;0.278;0.411;0.262;0.170;0.069;0.049;0.045;0.189;0.391;0.203;0.241;0.157;0.108;0.042;0.046;0.074;0.050;0.120;0.161;0.044;0.043;0.080;0.093;0.117;0.097;0.119;0.079;0.067;0.109;0.110;0.068;0.068;0.053;0.031;0.122;0.086;0.045;0.031;0.020;0.037;0.061;0.048;0.076;0.073;0.074;0.141;0.106;0.094;0.076;0.238;0.382;0.387;0.373;0.377;0.417;0.418;0.392;0.490;0.445;0.476;0.453;0.460;0.676;0.466;0.490;0.414;0.357;0.351;0.028;0.028;0.038;0.039;0.040;0.039;0.037;0.018;0.020;0.040;0.036;0.038;0.046;0.051;0.034;0.039;0.148;0.407;0.515;0.507;0.515;0.409;0.516
08/07/2025 00:00;0.362;0.171;0.034;0.034;0.038;0.066;0.163;0.155;0.031;0.017;0.032;0.041;0.040;0.057;0.301;0.367;0.382;0.239;0.170;0.178;0.183;0.170;0.169;0.114;0.039;0.037;0.036;0.035;0.029;0.016;0.088;0.070;0.049;0.047;0.050;0.048;0.033;0.202;0.106;0.065;0.073;0.041;0.032;0.047;0.071;0.080;0.082;0.102;0.076;0.059;0.385;0.436;0.422;0.482;0.465;0.451;0.535;0.577;0.405;0.401;0.410;0.428;0.417;0.398;0.390;0.394;0.228;0.276;0.251;0.285;0.230;0.259;0.260;0.247;0.254;0.234;0.231;0.279;0.257;0.234;0.212;0.077;0.069;0.074;0.131;0.133;0.146;0.327;0.621;0.396;0.215;0.241;0.239;0.222;0.234;0.243
09/07/2025 00:00;0.232;0.266;0.148;0.137;0.129;0.219;0.130;0.092;0.191;0.094;0.044;0.042;0.043;0.063;0.085;0.077;0.025;0.027;0.027;0.026;0.028;0.027;0.028;0.027;0.027;0.026;0.027;0.026;0.056;0.051;0.059;0.098;0.340;0.141;0.170;0.053;0.081;0.086;0.067;0.155;0.091;0.098;0.038;0.053;0.054;0.046;0.070;0.053;0.078;0.067;0.090;0.102;0.092;0.097;0.082;0.102;0.116;0.128;0.132;0.153;0.139;0.115;0.124;0.125;0.089;0.109;0.128;0.258;0.224;0.232;0.094;0.106;0.079;0.073;0.185;0.270;0.212;0.234;0.673;0.516;0.566;0.492;0.595;0.416;0.583;0.402;0.457;0.204;0.105;0.110;0.087;0.092;0.084;0.192;0.158;0.156
10/07/2025 00:00;0.231;0.201;0.118;0.054;0.173;0.120;0.218;0.180;0.054;0.037;0.036;0.036;0.035;0.036;0.022;0.018;0.036;0.036;0.035;0.026;0.017;0.024;0.025;0.021;0.017;0.018;0.036;0.058;0.114;0.077;0.113;0.171;0.066;0.097;0.339;0.106;0.120;0.115;0.062;0.121;0.041;0.050;0.052;0.033;0.046;0.042;0.060;0.083;0.110;0.117;0.110;0.118;0.179;0.157;0.059;0.184;0.349;0.274;0.244;0.242;0.229;0.170;0.171;0.195;0.250;0.231;0.273;0.226;0.196;0.163;0.140;0.219;0.217;0.240;0.267;0.247;0.275;0.168;0.177;0.245;0.067;0.091;0.378;0.299;0.285;0.228;0.205;0.218;0.346;0.372;0.327;0.267;0.210;0.210;0.293;0.205
